id,title,link,pubDate,resume,creator,source
53,"SEC delays BTC ETF decision, Grayscale triumphs over SEC and BitBoy gets the boot: Hodler’s Digest, Aug. 27 – Sept. 2",https://cointelegraph.com/magazine/sec-delays-btc-etf-decision-grayscale-triumphs-sec-and-bitboy-gets-the-boot-hodlers-digest-aug-27-sept-2/,"Sun, 03 Sep 2023 10:23:14 +0100","Keep track of Grayscale’s victory over the SEC, Ben Armstrong getting the boot and delays for spot Bitcoin ETFs.",Cointelegraph By Editorial Staff,cointelegraph
54,Lawyer outlines Ripple-SEC settlement path amid Coinbase case impact,https://cointelegraph.com/news/attorney-outlines-ripple-sec-settlement-path-amid-coinbase-case-impact,"Sun, 03 Sep 2023 09:19:12 +0100","John Deaton clarified that even if an appeal were possible in such a situation, the agency’s authority would be diminished.",Cointelegraph By Amaka Nwaokocha,cointelegraph
55,Cathie Wood bullish on Bitcoin and AI convergence,https://cointelegraph.com/news/cathie-wood-bullish-on-bitcoin-and-ai-convergence,"Sun, 03 Sep 2023 07:36:04 +0100","The ARK Invest CEO shares her views on the intersection of Bitcoin and artificial intelligence, highlighting its economic implications.",Cointelegraph By Amaka Nwaokocha,cointelegraph
56,Binance CEO CZ forecasts DeFi outgrowing CeFi in the next bull run,https://cointelegraph.com/news/binance-ceo-cz-de-fi-ce-fi-bull-run,"Sun, 03 Sep 2023 07:23:25 +0100",Changpeng “CZ” Zhao declares that the cryptocurrency industry will only become better as it becomes more decentralized.,Cointelegraph By Ciaran Lyons,cointelegraph
57,FTX court filing reveals former Alameda CEO’s $2.5M yacht purchase,https://cointelegraph.com/news/ftx-yacht-former-alameda-ceo-sam-trabucco,"Sun, 03 Sep 2023 03:23:21 +0100",The payment to the American Yacht Group was disclosed under the category of payments benefiting any insider within one year before the crypto exchange collapsed.,Cointelegraph By Ciaran Lyons,cointelegraph
58,How Web3 can prevent Hollywood strikes - Replay joins Cointelegraph Accelerator,https://cointelegraph.com/news/how-web3-can-prevent-hollywood-strikes-replay-joins-cointelegraph-accelerator,"Sat, 02 Sep 2023 11:00:00 +0100",Hollywood strikes echoed the unbalanced value distribution in the streaming video industry — blockchain can change that.,Cointelegraph By Cointelegraph Accelerator,cointelegraph
59,Whale Alert sparks speculation as XRP transfers surge,https://cointelegraph.com/news/whale-alert-sparks-speculation-as-xrp-transfers-surge,"Sat, 02 Sep 2023 10:55:04 +0100",This move has sparked speculation about its potential impact on XRP’s price.,Cointelegraph By Amaka Nwaokocha,cointelegraph
60,UK MPs call for global alliance to tackle AI misuse,https://cointelegraph.com/news/uk-mps-call-for-global-alliance-to-tackle-ai-misuse,"Sat, 02 Sep 2023 08:37:34 +0100","The collaboration aims to collectively safeguard against actors, whether state-affiliated or not, who seek to misuse AI for their objectives.",Cointelegraph By Amaka Nwaokocha,cointelegraph
61,"Nifty News: Adidas unveils resident Web3 artists, Mutant Ape sells for 500 ETH and more",https://cointelegraph.com/news/nifty-news-adidas-unveils-resident-web3-artists-mutant-ape-nft-sells-for-500-eth-and-more,"Sat, 02 Sep 2023 07:36:47 +0100","Yuga Labs is gearing up to launch a new game in the Otherside metaverse, but it’s not 3D, while NFT trading volume for NFL All Day pumped 570% over the past seven days.",Cointelegraph By Brian Quarmby,cointelegraph
62,MakerDAO co-founder proposes fork of Solana codebase for native chain,https://cointelegraph.com/news/maker-dao-co-founder-proposes-solana-codebase-fork-native-chain,"Sat, 02 Sep 2023 04:51:20 +0100","Rune Christensen stated that Solana’s codebase should be the foundation of MakerDAO’s upcoming blockchain, as he highlighted that it’s optimized for building “highly efficient blockchains.”",Cointelegraph By Brian Quarmby,cointelegraph
63,Ripple legal team opposes SEC appeal over XRP decision,https://cointelegraph.com/news/ripple-legal-team-opposes-sec-appeal-over-xrp-decision,"Fri, 01 Sep 2023 22:53:33 +0100",Lawyers argued the SEC’s grounds for an appeal was based on “dissatisfaction” with a July court decision that the XRP token did not largely qualify as a security.,Cointelegraph By Turner Wright,cointelegraph
64,The story of a crypto influencer’s attempt to bend reality,https://cointelegraph.com/news/carl-moon-runefelt-kasta-attempt-bend-reality,"Fri, 01 Sep 2023 22:50:16 +0100",A bizarre tale about Carl ‘The Moon” Runefelt asking Cointelegraph to revise history on his behalf by concealing old claims that he co-founded a crypto app.,Cointelegraph By Elias Ahonen,cointelegraph
65,Digital rupee gets big usability boost through Yes Bank integration with UPI ,https://cointelegraph.com/news/digital-rupee-gets-big-usability-boost-through-yes-bank-integration-with-upi,"Fri, 01 Sep 2023 22:30:47 +0100","The Yes Bank app’s UPI integration is the first for the Indian retail CBDC, which has seen a variety of projects since its pilot launch in December.",Cointelegraph By Derek Andersen,cointelegraph
66,Why is Bitcoin price down today? ,https://cointelegraph.com/news/why-is-bitcoin-price-down-today,"Fri, 01 Sep 2023 20:49:51 +0100","Bitcoin’s price is down today, as the excitement surrounding Grayscale’s SEC victory turns to disappointment after the SEC delayed each spot Bitcoin ETF application.",Cointelegraph By Kyle White,cointelegraph
67,Balancer protocol exploited for $900K as DeFi hacks mount: Finance Redefined,https://cointelegraph.com/news/balancer-protocol-exploited-for-900k-as-defi-hacks-mount-finance-redefined,"Fri, 01 Sep 2023 20:25:00 +0100",DeFi exploits resulted in losses of over $16 million in August.,Cointelegraph By Prashant Jha,cointelegraph
68,Kentucky regulator denies plan for subsidizing crypto mining facility,https://cointelegraph.com/news/kentucky-regulator-denies-plan-subsidizing-crypto-mining-facility,"Fri, 01 Sep 2023 20:03:58 +0100",A proposed contract with the Kentucky Power Company would have allowed Ebon International to receive a discounted rate for service at its crypto mining facility over a decade.,Cointelegraph By Turner Wright,cointelegraph
69,"Price analysis 9/1: BTC, ETH, BNB, XRP, ADA, DOGE, SOL, TON, DOT, MATIC",https://cointelegraph.com/news/price-analysis-9-1-btc-eth-bnb-xrp-ada-doge-sol-ton-dot-matic,"Fri, 01 Sep 2023 19:41:25 +0100",Bitcoin and most altcoins gave back the entirety of their gains shortly after the SEC decided to delay issuing a decision on all of the recently filed spot Bitcoin ETF applications.,Cointelegraph By Rakesh Upadhyay,cointelegraph
70,Here’s what happened in crypto today,https://cointelegraph.com/news/what-happened-in-crypto-today,"Fri, 01 Sep 2023 19:38:18 +0100","Need to know what happened in crypto today? Here is the latest news on daily trends and events impacting Bitcoin price, blockchain, DeFi, NFTs, Web3 and crypto regulation.",Cointelegraph By Serge Egon Ostman,cointelegraph
71,"Bitcoin continues to outperform Warren Buffett’s portfolio, and the gap is set to widen",https://cointelegraph.com/news/bitcoin-continues-to-outperform-warren-buffett-s-portfolio-and-the-gap-is-set-to-widen,"Fri, 01 Sep 2023 18:35:02 +0100",Spot and levered Bitcoin positions have outperformed Berkshire Hathaway’s stock performance since early 2019. Is it time for Warren Buffett to buy Bitcoin?,Cointelegraph By Marcel Pechman,cointelegraph
72,Former SEC chair says spot Bitcoin ETF approval is ‘inevitable’ despite delays,https://cointelegraph.com/news/former-sec-chair-spot-bitcoin-etf-approval-inevitable-despite-delays,"Fri, 01 Sep 2023 18:01:35 +0100","The commission has another 45 days to approve, deny or delay spot Bitcoin exchange-traded fund applications from seven major firms.",Cointelegraph By Turner Wright,cointelegraph
73,Bitcoin lines up RSI showdown as BTC price slips toward new 2-week low,https://cointelegraph.com/news/bitcoin-rsi-showdown-btc-price-new-2-week-low,"Fri, 01 Sep 2023 16:40:12 +0100","Bitcoin erases all trace of “Grayscale hype,” with September offering a trip below $26,000 and limited chance of upside, BTC price analysis warns.",Cointelegraph By William Suberg,cointelegraph
74,Onboarding crypto users in Africa vs. the West — Fonbnk founder Christian Duffus explains  ,https://cointelegraph.com/news/onboarding-crypto-users-africa-vs-west-fonbnk-founder-christian-duffus-explains,"Fri, 01 Sep 2023 16:20:00 +0100","Christian Duffus, founder of Fonbnk, believes a lack of basic infrastructure such as telecommunications is slowing down cryptocurrency adoption in Africa.",Cointelegraph By Elisha Owusu Akyaw,cointelegraph
75,Robinhood bought back Sam Bankman-Fried’s stake from US gov’t for $606M,https://cointelegraph.com/news/robinhood-bought-sam-bankman-fried-stake-us-marshals,"Fri, 01 Sep 2023 15:27:27 +0100",The purchase of the 55 million Robinhood shares had been expected following approval from the company’s board and a U.S. district court.,Cointelegraph By Turner Wright,cointelegraph
76,Polygon's new open-source L2 chain developer stack to support Ethereum ZK-powered layer 2s,https://cointelegraph.com/news/polygon-chain-development-kit-opensource,"Fri, 01 Sep 2023 14:45:51 +0100","Polygon’s Chain Development Kit allows developers to freely build, customize and deploy layer 2 chains connected to the wider Ethereum ecosystem.",Cointelegraph By Gareth Jenkinson,cointelegraph
77,Why is the crypto market down today?,https://cointelegraph.com/news/why-is-the-crypto-market-down-today,"Fri, 01 Sep 2023 14:40:17 +0100",The crypto market is down today as the U.S. securities regulator delays its decision on Bitcoin ETFs.,Cointelegraph By Yashu Gola,cointelegraph
78,Brazilian crypto streamer loses money by accidentally exposing private key,https://cointelegraph.com/news/brazilian-crypto-streamer-loses-50k-by-exposing-private-key,"Fri, 01 Sep 2023 14:33:45 +0100","The risks of cryptocurrency self-custody are real and should not be underestimated, as the private key can be stolen, destroyed or lost.",Cointelegraph By Helen Partz,cointelegraph
79,"AI could revolutionize human resources, but there are risks",https://cointelegraph.com/news/ai-human-resources-risks,"Fri, 01 Sep 2023 13:57:00 +0100","While AI has the power to revolutionize human resources, it also leaves HR professionals open to certain risks.",Cointelegraph By Victoria Kennedy,cointelegraph
80,US regulators deny blocking AI chip exports to Middle East,https://cointelegraph.com/news/us-regulators-deny-blocking-ai-chip-exports-to-middle-east,"Fri, 01 Sep 2023 13:40:25 +0100",The U.S. Department of Commerce denied blocking AI chip sales to the Middle East and remained silent about whether the requirements were only imposed on specific countries.,Cointelegraph By Savannah Fortis,cointelegraph
81,The Week Ahead: Global Central Banks and Critical Economic Indicators in Focus,https://www.fxempire.com/news/article/the-week-ahead-global-central-banks-and-critical-economic-indicators-in-focus-1371978,"Sun, 03 Sep 2023 03:45:59 GMT","Central banks’ decisions and a slew of economic data will dictate the market movements this week. Investors will closely monitor ISM PMI, jobless claims, trade data, and central banks’ commentary.",Bob Mason,fxempire
82,US Labor Market Resonates with Fed’s Policy Aims,https://www.fxempire.com/news/article/us-labor-market-resonates-with-feds-policy-aims-1371959,"Sat, 02 Sep 2023 04:30:30 GMT","The reports suggest a labor market becoming increasingly balanced, aligning with the Fed’s objectives.",James Hyerczyk,fxempire
83,ISM Manufacturing PMI Remains In Contraction Territory,https://www.fxempire.com/news/article/ism-manufacturing-pmi-remains-in-contraction-territory-1371792,"Fri, 01 Sep 2023 14:22:46 GMT","The U.S. manufacturing sector is under pressure, but the uptick in the PMI index indicates a slower rate of contraction.",Vladimir Zernov,fxempire
84,"August Sees 187,000 Job Boost as Unemployment Climbs to 3.8%",https://www.fxempire.com/news/article/august-sees-187000-job-boost-as-unemployment-climbs-to-3-8-1371776,"Fri, 01 Sep 2023 12:45:29 GMT","August saw 187K nonfarm payrolls, surpassing Dow’s 170K estimate; unemployment hit a 3.8% peak since February 2022, with earnings below projections.",James Hyerczyk,fxempire
85,Türkiye Pursues Policy Shift With Large Rate Hike but Hefty Inflation Challenges Remain,https://www.fxempire.com/news/article/turkiye-pursues-policy-shift-with-large-rate-hike-but-hefty-inflation-challenges-remain-1371778,"Fri, 01 Sep 2023 12:39:00 GMT",The Turkish central bank’s unexpectedly hawkish shift in policy helps rebuild credibility in inflation targeting but fast-rising consumer prices will test the commitment to the current monetary stance.,Thomas Gillet,fxempire
86,China Caixin Manufacturing PMI Hits 51 Despite Weak Overseas Demand,https://www.fxempire.com/news/article/china-caixin-manufacturing-pmi-hits-51-despite-weak-overseas-demand-1371707,"Fri, 01 Sep 2023 02:08:50 GMT","The China Caixin Manufacturing PMI provided brief relief. However, sub-components suggested difficult conditions and narrowing margins.",Bob Mason,fxempire
89,"Eurostat: Euro Area’s Inflation Defies Forecasts, Stays at 5.3%",https://www.fxempire.com/news/article/eurostat-euro-areas-inflation-defies-forecasts-stays-at-5-3-1371477,"Thu, 31 Aug 2023 09:10:53 GMT","Eurostat estimates August 2023 Euro area inflation held steady at 5.3%; energy sector improves from -6.1% in July to -3.3%.",James Hyerczyk,fxempire
90,German Retail Sales Slide by 0.8% to Fan Recessionary Fears,https://www.fxempire.com/news/article/german-retail-sales-slide-by-0-8-to-fan-recessionary-fears-1371439,"Thu, 31 Aug 2023 06:24:58 GMT","Despite economists’ predictions, German retail sales fell by 0.8% in July, potentially affecting the EUR to USD rate and upcoming ECB decisions.",Bob Mason,fxempire
91,Crude Inventories Decline By 10.6 Million Barrels,https://www.fxempire.com/news/article/crude-inventories-decline-by-10-6-million-barrels-1371327,"Wed, 30 Aug 2023 14:47:26 GMT",Traders will also stay focused on the military coup in the OPEC member Gabon.,Vladimir Zernov,fxempire
92,ADP:  US Job Creation Faces Slowdown in August,https://www.fxempire.com/news/article/adp-us-job-creation-faces-slowdown-in-august-1371242,"Wed, 30 Aug 2023 12:25:36 GMT","ADP reported only 177,000 jobs in August, contrasting July’s 371,000; “Trajectory is shifting towards sustainable growth,” says ADP’s chief economist.",James Hyerczyk,fxempire
93,Australian Inflation Rate Softened to 4.9% in July Easing Hawkish RBA Bets,https://www.fxempire.com/news/article/australian-inflation-rate-softened-to-4-9-in-july-easing-hawkish-rba-bets-1371168,"Wed, 30 Aug 2023 02:06:36 GMT","With the Aussie inflation rate falling and unemployment rising, the RBA will likely remain in a holding pattern, focusing on wage growth and spending.",Bob Mason,fxempire
94,JOLTs Job Openings Slide Below 9 Million,https://www.fxempire.com/news/article/jolts-job-openings-slide-below-9-million-1371063,"Tue, 29 Aug 2023 14:17:24 GMT",The report showed that Fed’s policy has started to put material pressure on the job market.,Vladimir Zernov,fxempire
95,"Case-Shiller, HPI US Housing Data Shows Signs of Resilience",https://www.fxempire.com/news/article/case-shiller-hpi-us-housing-data-shows-signs-of-resilience-1371055,"Tue, 29 Aug 2023 13:15:49 GMT","June 2023 shows a fourth month of metro price hikes, with Chicago, Cleveland, and NY leading and a 3.0% U.S. yearly appreciation from Q2 2022-23.",James Hyerczyk,fxempire
96,German GfK Consumer Climate Fall Fuels German Recession Concerns,https://www.fxempire.com/news/article/german-gfk-consumer-climate-fall-fuels-german-recession-concerns-1370944,"Tue, 29 Aug 2023 06:24:19 GMT","Despite softer July inflation, rising food and energy prices and deteriorating income expectations weigh on the German GfK Consumer Climate Index.",Bob Mason,fxempire
97,Dallas Fed Manufacturing Index Beat Analyst Expectations,https://www.fxempire.com/news/article/dallas-fed-manufacturing-index-beat-analyst-expectations-1370816,"Mon, 28 Aug 2023 14:51:40 GMT",The report indicated that manufacturing sector remained under strong pressure.,Vladimir Zernov,fxempire
98,The Week Ahead – Rate Hikes on the Horizon? Key Indicators to Watch This Week,https://www.fxempire.com/news/article/the-week-ahead-rate-hikes-on-the-horizon-key-indicators-to-watch-this-week-1370571,"Sun, 27 Aug 2023 03:10:25 GMT","The week ahead will be a test for the markets. US nonfarm payrolls, wage growth, inflation numbers are pivotal for a September Fed rate hike.",Bob Mason,fxempire
99,Powell Says Fed Would Raise Rates Further If Necessary,https://www.fxempire.com/news/article/powell-says-fed-would-raise-rates-further-if-necessary-1370442,"Fri, 25 Aug 2023 14:26:31 GMT",Market action was choppy as traders reacted to Powell’s speech at the Jackson Hole Symposium.,Vladimir Zernov,fxempire
100,Natural Gas Price Rebounds After EIA Report,https://www.fxempire.com/news/article/natural-gas-price-rebounds-after-eia-report-1370212,"Thu, 24 Aug 2023 14:52:51 GMT",Prices moved higher as natural gas storage build missed analyst estimates by a wide margin.,Vladimir Zernov,fxempire
101,FTX cold wallet moved almost $10M in altcoins to Ethereum since Aug. 31,https://cryptoslate.com/ftx-cold-wallet-moved-almost-10m-in-altcoins-to-ethereum-since-aug-31/,"Sat, 02 Sep 2023 19:54:46 +0000","A cold wallet owned by collapsed crypto exchange FTX moved almost $10 million in altcoins from Solana to Ethereum since Aug. 31 for undisclosed reasons, according to on-chain data. The altcoins include notable tokens like LINK, SUSHI, LUNA, and YFI. The transfers were conducted through Wormhole Bridge. It is unclear if the transfers are connected […]
The post FTX cold wallet moved almost $10M in altcoins to Ethereum since Aug. 31 appeared first on CryptoSlate.",Assad Jafri,cryptoslate
102,The savvy holder’s guide to NFT lending,https://cryptoslate.com/the-savvy-holders-guide-to-nft-lending/,"Sat, 02 Sep 2023 17:00:25 +0000","Fuelled by early movers such as NFTfi and Blend, NFT lending is one of the hottest sectors in the crypto market, attracting outsize attention and funding. Everyone’s betting on the growth of this niche. The NFT lending market has grown to account for more than $100 million per week in loan volume, with more than […]
The post The savvy holder’s guide to NFT lending appeared first on CryptoSlate.","0xburga",cryptoslate
103,Navigating the significance of legal opinions in the crypto sphere,https://cryptoslate.com/navigating-the-significance-of-legal-opinions-in-the-crypto-sphere/,"Sat, 02 Sep 2023 13:12:08 +0000","The need for legal clarity has become paramount in the ever-evolving landscape of cryptocurrency, where innovation meets regulation. The recent legal battles involving major crypto exchanges and regulatory authorities underscore the importance of obtaining comprehensive legal opinions for token projects. This article examines the significance of legal opinions in crypto tokens and explores why they […]
The post Navigating the significance of legal opinions in the crypto sphere appeared first on CryptoSlate.",Erhan Kahraman,cryptoslate
104,Ex-SEC chair Jay Clayton says approval for a spot Bitcoin ETF is ‘inevitable’,https://cryptoslate.com/ex-sec-chair-jay-clayton-calls-spot-bitcoin-etf-approval-inevitable/,"Fri, 01 Sep 2023 22:55:49 +0000","Former SEC chair Jay Clayton suggested that U.S. securities regulators will likely approve a Bitcoin ETF during an interview with CNBC on Sept. 1. Clayton nevertheless said he was not surprised that the U.S. Securities and Exchange Commission (SEC) had postponed decisions on various pending Bitcoin ETFs. He went on to explain that “the job […]
The post Ex-SEC chair Jay Clayton says approval for a spot Bitcoin ETF is ‘inevitable’ appeared first on CryptoSlate.",Mike Dalton,cryptoslate
118,Swift Announces Successful Tokenization Experiment Using Chainlink’s CCIP,https://cryptopotato.com/swift-announces-successful-tokenization-experiment-using-chainlinks-ccip/,"Sat, 02 Sep 2023 21:10:06 +0000",Swift carried out an experiment with banks leveraging Chainlink's CCIP.,Chayanika Deka,cryptopotato
119,92% Decrease in Crypto Losses Due to Hacks and Exploits in August (Report),https://cryptopotato.com/92-decrease-in-crypto-losses-due-to-hacks-and-exploits-in-august-report/,"Sat, 02 Sep 2023 17:33:02 +0000","Crypto wrongdoers focused on the DeFi space in August, while CeFi ""hasn't witnessed a single major exploit.""",Dimitar Dzhondzhorov,cryptopotato
105,"New Russian malware, dubbed ‘Infamous Chisel,’ identified targeting Binance, Coinbase, and Trust wallets",https://cryptoslate.com/new-russian-malware-dubbed-infamous-chisel-identified-targeting-binance-coinbase-and-trust-wallets/,"Fri, 01 Sep 2023 21:40:25 +0000","Newly discovered malware dubbed “Infamous Chisel” targets crypto wallets and other Android apps, according to a U.K. government report on Sept. 1. The U.K.’s National Cyber Security Centre (NCSC) said that the malware works by scanning various directories on infected mobile devices and exfiltrating data. The malware is known to extract data from at least […]
The post New Russian malware, dubbed ‘Infamous Chisel,’ identified targeting Binance, Coinbase, and Trust wallets appeared first on CryptoSlate.",Mike Dalton,cryptoslate
106,Arkham identifies Grayscale’s Ethereum Trust as second-largest ETH holder,https://cryptoslate.com/arkham-identifies-grayscales-ethereum-trust-as-second-largest-eth-holder/,"Fri, 01 Sep 2023 20:20:16 +0000","Arkham Intelligence identified Grayscale’s Ethereum Trust as the second-largest Ethereum (ETH) holder in a tweet on Sept. 1. The company said that the trust is the “second largest ETH entity globally” and that the fund contains $5 billion of ETH (seemingly rounding up from $4.9 billion). Akrham said those funds are divided across more than […]
The post Arkham identifies Grayscale’s Ethereum Trust as second-largest ETH holder appeared first on CryptoSlate.",Mike Dalton,cryptoslate
107,"Chinese court contradicts government’s stance on virtual currencies, declares them to be legal property",https://cryptoslate.com/chinese-court-contradicts-governments-stance-on-virtual-currency-declares-them-to-be-legal-property/,"Fri, 01 Sep 2023 19:00:29 +0000","A Chinese court has reportedly ruled that virtual currency should not be immediately treated as illegal under the nation’s legal framework, in apparent contravention to prevailing CCP policy. Beijing-based Web3 news outlet Odaily reported Sept. 1 that the People’s Court of China had ruled that virtual currency should not be classified as illegal within the […]
The post Chinese court contradicts government’s stance on virtual currencies, declares them to be legal property appeared first on CryptoSlate.",Jacob Oliver,cryptoslate
108,"Bitcoin price could hit $100k without U.S. spot ETF approval, says crypto fund CIO",https://cryptoslate.com/bitcoin-price-could-hit-100k-without-us-spot-etf-approval-says-crypto-fund-cio/,"Fri, 01 Sep 2023 16:10:06 +0000","Alistair Milne, the chief investment officer of Altana digital currency fund, said Bitcoin (BTC) does not need the U.S. to approve a spot exchange-traded fund (ETF) for its value to reach $100,000. In an Aug. 31 post on X, Milne stated that a U.S. spot Bitcoin ETF was a distraction. According to him, while an ETF […]
The post Bitcoin price could hit $100k without U.S. spot ETF approval, says crypto fund CIO appeared first on CryptoSlate.",Oluwapelumi Adejumo,cryptoslate
109,Robinhood strikes deal with U.S. Marshal Service to buy back shares seized from Sam Bankman-Fried,https://cryptoslate.com/robinhood-strikes-deal-with-u-s-marshal-service-to-buy-back-sam-bankman-frieds-seized-shares/,"Fri, 01 Sep 2023 15:00:18 +0000","Robinhood‘s proposed deal to repurchase shares seized from Sam Bankman-Fried by the U.S. Marshal Service (USMS) has been approved by a federal court in the Southern District of New York. As a result, Robinhood will be allowed to buy back shares seized from Bankman-Fried’s Emergent Fidelity Technologies for $605.7 million, according to a statement released […]
The post Robinhood strikes deal with U.S. Marshal Service to buy back shares seized from Sam Bankman-Fried appeared first on CryptoSlate.",Jacob Oliver,cryptoslate
110,Bitwise makes surprise ETH and BTC Market Cap ETF application withdrawal,https://cryptoslate.com/bitwise-makes-surprise-ethereum-and-bitcoin-market-cap-etf-application-withdrawal/,"Fri, 01 Sep 2023 13:45:40 +0000","Bitwise Trust Fund has withdrawn its application for a Bitcoin and Ethereum Market Cap Weight Strategy exchange-traded fund (ETF) from the U.S. Securities and Exchange Commission (SEC). Per its withdrawal statement, Bitwise said its “Trust no longer intends to seek effectiveness of the Fund and no securities of the Fund were sold or will be […]
The post Bitwise makes surprise ETH and BTC Market Cap ETF application withdrawal appeared first on CryptoSlate.",Oluwapelumi Adejumo,cryptoslate
111,Worldcoin Not the Path to Attain Proof-of-Personhood: Experts Weigh In,https://cryptopotato.com/worldcoin-not-the-path-to-attain-proof-of-personhood-experts-weigh-in/,"Sun, 03 Sep 2023 17:25:06 +0000",The makers of a successful generative AI are developing an intrusive system for countering the very problem the former perpetuates. Irony much?,Chayanika Deka,cryptopotato
112,3 Important Shiba Inu and Shibarium Updates and What’s Next? Lead Developer Clarifies,https://cryptopotato.com/3-important-shiba-inu-and-shibarium-updates-and-whats-next-lead-developer-clarifies/,"Sun, 03 Sep 2023 15:35:25 +0000","The lead developer of Shiba Inu has presented three important updates, as well as a hint at what's next.",George Georgiev,cryptopotato
113,"52% of Turks Are Crypto Investors, Young Women Show Enhanced Appetite: KuCoin Study",https://cryptopotato.com/52-of-turks-are-crypto-investors-young-women-show-enhanced-appetite-kucoin-study/,"Sun, 03 Sep 2023 14:41:05 +0000","BTC, ETH, and stablecoins are the most popular cryptocurrencies for Turkish investors.",Dimitar Dzhondzhorov,cryptopotato
114,"ETH Broke Crucial Support, Here’s the Next Target (Ethereum Price Analysis)",https://cryptopotato.com/eth-broke-crucial-support-heres-the-next-target-ethereum-price-analysis/,"Sun, 03 Sep 2023 13:17:03 +0000","Ethereum’s recent market performance has seen an unexpected and sharp rejection from the $1.8K resistance level, triggering a significant downward trend that broke down both the pivotal 100-day and 200-day moving averages. This development is a clear, bearish signal for Ethereum’s mid-term prospects. Technical Analysis By Shayan The Daily Chart Following a notable drop from […]",CryptoVizArt,cryptopotato
115,Ripple Price Analysis: The Calm Before the Storm? XRP About to Lose Key Support,https://cryptopotato.com/ripple-price-analysis-the-calm-before-the-storm-xrp-about-to-lose-key-support/,"Sun, 03 Sep 2023 13:03:30 +0000","After a period of steady price movements, Ripple has finally moved – toward a bearish trajectory. This decline has led to a breakdown below a critical support zone defined by the 200-day moving average. Technical Analysis By Shayan The Daily Chart A closer look at the daily chart shows a notable drop in XRP price […]",CryptoVizArt,cryptopotato
116,How Grayscale’s Win Will Reshape the Crypto Industry According to Experts,https://cryptopotato.com/how-grayscales-win-will-reshape-the-crypto-industry-according-to-experts/,"Sun, 03 Sep 2023 11:35:14 +0000","Experts believe Grayscale's win is a ""favorable development"" for regulations that safeguard investors instead of imposing restrictions.",Mandy Williams,cryptopotato
117,"Bitcoin Price Stabilizes at $26K, These Alts Have Soared the Most Weekly (Market Watch)",https://cryptopotato.com/bitcoin-price-stabilizes-at-26k-these-alts-have-soared-the-most-weekly-market-watch/,"Sun, 03 Sep 2023 08:10:16 +0000",TONCOIN is not the only larger-cap alt with a notable weekly price incease.,Jordan Lyanchev,cryptopotato
